name,country,difficulty,elevation (feet),elevation (meters),latitude,longitude,nearest major airport,year first climbed,continent
"Karisimbi, Mount",rwanda/congo democratic republic of the,scramble,14787,4507,-1.5,29.45,kampala uganda  kigali rwanda  bujumbura burundi  nairobi kenya,1903,africa
"Kenya, Mount",kenya,technical climb,17057,5199,-0.15,37.3,nairobi kenya,1899,africa
"Kilimanjaro, Mount",tanzania,walk up,19340,5895,-3.06667,37.35,kilimanjaro international airport (kia) tanzania,1889,africa
Kinyeti,sudan,walk up,10449,3185,3.946286,32.910258,juba,,africa
Koenigsstein,namibia,scramble,8441,2573,,,windhoek,1917,africa
Krakadou,south africa,scramble,5725,1745,-32.2333,19.0833,cape town,,africa
Kranskop,south africa,walk up,4406,1343,-24.7233,28.528,,,africa
Lion's Head,south africa,scramble,2198,670,,,cape town international,,africa
"Longonot, Mount",kenya,walk up,9111,2777,-0.915278,36.456944,nairobi,,africa
Loolmalasin,tanzania,walk up,12080,3682,-2.83333,35.5833,arusha,,africa
"Luigi, Mount",uganda,scramble,15178,4626,0.333333,29.8833,kampala uganda  kigali rwanda  bujumbura burundi  nairobi kenya,1906,africa
m'goun,morocco,walk up,13346,4068,31.5111,-5.56972,marrakech,1983,africa
Mafadi,south africa,scramble,11319,3450,-29.2023,29.3571,harrismith,,africa
Margherita,uganda/congo democratic republic of the,basic snow/ice climb,16763,5109,0.380319,29.873639,entebbe,1906,africa
Matroosberg,south africa,walk up,7382,2250,,,cape town international,,africa
Mawenzi,tanzania,scramble,16893,5149,-3.075833,37.353333,kilimanjaro international airport,1912,africa
"Meru, Mount",tanzania,walk up,14979,4566,-3.244392,36.749999,kilimanjaro international airport (jro),1904,africa
Mont Agou,togo,walk up,3235,986,6.866666,-0.75,lomé,,africa
Mont-aux-Sources,south africa,scramble,10768,3282,-28.759081,28.884644,johannesburg or durban south africa,1836,africa
Muhabura,rwanda/uganda,walk up,13540,4127,-1.33333,29.6167,kigali,,africa
Mulanje,malawi,scramble,9852,3003,-15.9667,35.6333,blantyre malawi,,africa
Mumpu,zambia,,6400,1951,-13.2,29.36,,,africa
Ol'donyo Lengai,tanzania,scramble,9500,2896,-2.764444,35.916111,kilimanjaro,,africa
Piton de la Fournaise,reunion,walk up,8631,2631,-21.2333,55.7167,st. denis réunion island,,africa
Piton des Neiges,reunion,walk up,10700,3070,-21.0833,55.4833,st. denis rȵnion island,,africa
Pondoks,namibia,scramble,5020,1530,-22,15,windhoek,1995,africa
Ras Dashen,ethiopia,scramble,14928,4550,13.25,38.4,addis ababa ethiopia,1841,africa
Ras N'ouanoukrim,morocco,scramble,13396,4083,,,agadir marrakesch,,africa
"Sinai, Mount",egypt,walk up,8651,2640,28.5167,33.95,cairo egypt  tel aviv israel,,africa
Sneeuberg,south africa,scramble,6650,2027,-32.5167,19.1667,cape town,1896,africa
"Speke, Mount",congo democratic republic of the,scramble,16042,4890,0.4,29.8833,kampala uganda  kigali rwanda  bujumbura burundi  nairobi kenya,1906,africa
Spitzkoppe,namibia,technical climb,5853,1784,-21.824722,15.194167,swakopmund,1946,africa
"Stanley, Mount",congo democratic republic of the,scramble,16763,5109,0.383333,29.8667,kampala uganda  kigali rwanda  bujumbura burundi  nairobi kenya,1906,africa
Table Mountain,south africa,scramble,3566,1087,-33.95,18.4167,cape town south africa,1503,africa
Tafelberg,south africa,scramble,6460,1969,-32.4167,19.2,cape town,1896,africa
Tahat,algeria,technical climb,9573,2918,23.3,5.53333,tamanghasset algeria,1931,africa
Thabana Ntlenyana,lesotho,walk up,11424,3482,-29.466667,29.266667,maseru,,africa
Timesguida,morocco,scramble,13415,4089,,,agadir marrakesch,,africa
Toubkal,morocco,scramble,13665,4167,31.0611,-7.91547,marrakech morocco,1923,africa
Toubkal Ouest,morocco,walk up,13222,4030,,,marrakech,,africa
Usambara Mountain,tanzania,walk up,5000,1524,45.005,65.53,kilimanjaro international airport,2009,africa
Wolfberg,south africa,walk up,5279,1609,-32.45,19.2667,cape town,1896,africa
"De Backer, Mt",antarctica,basic snow/ice climb,5564,1696,-71.84597,24.69186,,2010,antarctica
"Elkins, Mount",antarctica,scramble,7546,2300,-66.667,54.15,perth australia,1960,antarctica
"Erebus, Mount",antarctica,basic snow/ice climb,12447,3794,-77.5333,167.15,,1908,antarctica
"Francais, Mount",antarctica,major mountain expedition,9055,2760,-64.609749,-63.446045,ushuaia argentina,,antarctica
"Houttequiet, Mt",antarctica,basic snow/ice climb,5899,1798,-71.86266,24.69103,,,antarctica
Joris Peak,antarctica,basic snow/ice climb,6955,2120,-72.11234,23.2608,,2010,antarctica
"Kirkpatrick, Mount",antarctica,scramble,14855,4528,-84.3333,166.417,,,antarctica
Mariën Peak,antarctica,technical climb,6010,1832,-71.87742,24.57225,,2010,antarctica
Martin's peak (Wideroefjellet),antarctica,basic snow/ice climb,10007,3050,-72.15023,23.26063,,2007,antarctica
"Neel Roofthooft, Mt",antarctica,scramble,5961,1817,-72.0331,23.1167,,,antarctica
Robl Peak,antarctica,basic snow/ice climb,5180,1579,-71.87955,24.67864,,2010,antarctica
"Taylor, Mount",antarctica,basic snow/ice climb,3051,930,-63.429507,-57.122678,ushuaia (argentina). marambio (argentine antarctic base),,antarctica
Vinson Massif,antarctica,major mountain expedition,16066,4897,-78.5833,-85.4167,,1966,antarctica
"19th Party Conference, Peak",kyrgyzstan,basic snow/ice climb,5885,1794,39.3833,72.9667,osh,1930,asia
Çakırgöl,turkey,,9954,3034,40.5667,29.15,trabzon,,asia
Çal,turkey,,7159,2182,36.86618,29.12078,dalaman airport / muğla,,asia
Acho,iran,walk up,5525,1684,36.227,53.1633,sari dasht-e naz airport,,asia
Adam's Peak,sri lanka,walk up,7359,2243,6.81139,80.4997,columbo sri lanka,,asia
Adi Kailash,india,,20312,6191,30.28529,80.651983,,2004,asia
Affarwat,india/pakistan,scramble,13593,4143,34.020048,74.337015,srinagar indian administered kashmir,,asia
"Agdalusan, Mount",philippines,,2526,770,11.103097,122.370665,new iloilo airport,,asia
Akadake,japan,basic snow/ice climb,9711,2960,,,tokyo,,asia
Akaishidake,japan,scramble,10236,3120,35.465284,138.167496,narita kansai,,asia
Aktru,russia,technical climb,13271,4045,50.0667,87.6667,novosibirsk,,asia
Alam Kuh,iran,technical climb,15912,4850,36.2239,50.5757,mehrabad,1939,asia
"Albert Edward, Mount",papua new guinea,walk up,13090,3990,-8.5,147.333,port moresby,1953,asia
Altiparmak,turkey,,11827,3605,39,38,trabzon,,asia
Alvand,iran,,11247,3428,34.664167,48.486667,,,asia
alvand,iran,,11319,3450,34.2708,54.2065,sadooghi,,asia
Ama Dablam,nepal,major mountain expedition,22494,6856,27.861111,86.861111,kathmandu nepal,1961,asia
Amne Machin,china,major mountain expedition,20610,6282,34.798333,99.4625,xining china,1981,asia
Anamudi,india,walk up,8842,2695,10.1666,77.0666,kochi,,asia
Angel,pakistan,technical climb,22500,6858,,,islamabad,,asia
Annapurna,nepal,major mountain expedition,26545,8091,28.584823,83.989921,kathmandu nepal,1950,asia
Annapurna 2,nepal,major mountain expedition,26040,7937,28.534766,84.121799,kathmandu,1960,asia
Annapurna 3,nepal,technical climb,24786,7555,,,kathmandu,1985,asia
Annapurna South,nepal,major mountain expedition,23684,7219,28.518629,83.805857,pokhara,,asia
Api,nepal,major mountain expedition,23399,7132,30,80.9333,kathmandu nepal,1960,asia
"Apo, Mount",philippines,major mountain expedition,10331,3148,7.00833,125.276,davao int'l airport,1880,asia
Arakawadake (Waruzawadake),japan,walk up,10305,3141,35.49974,138.182173,narita kansai,,asia
"Ararat, Mount",turkey,walk up,16945,5165,39.7,44.3,van turkey,1829,asia
Argopuro,indonesia,walk up,3088,941,,,surabaya,,asia
Asama Yama,japan,walk up,8425,2568,36.4057,138.517,narita international kansai international,,asia
"Aso, Mount",japan,walk up,5223,1592,32.8844,131.1039,fukuoka,,asia
"Asog, Mt",philippines,walk up,3750,1143,13.4511,123.451,naga-pili airport,,asia
Asso Peak,pakistan,major mountain expedition,19029,5800,,,gilgit,1999,asia
Atkuyruksallamaz,turkey,scramble,9446,2879,36.55062,29.53758,dalaman airport,,asia
Awiar,iran,,7287,2221,35.3167,47,sanandaj airport,,asia
Baba Dagi,turkey,walk up,6526,1989,36.52842,29.185196,dalaman,,asia
Bademli Dagi,turkey,scramble,6824,2080,,,konya and antalya,,asia
Baden-Powell Peak,nepal,basic snow/ice climb,18760,5718,28.1671,85.5325,kathmandu - thribuvan int'l airport,,asia
"Baekdu, Mount",korea north/china,scramble,9003,2744,42.0035,128.031,yanji jirin and changchun,,asia
Baintha Brakk,pakistan,major mountain expedition,23901,7285,35.947717,75.753822,islamabad,1977,asia
Bakirtepe,turkey,walk up,8356,2547,,,antalya,,asia
Balatukan,philippines,scramble,8038,2450,8.77,124.98,cagayan de oro,,asia
"Baloy, Mount",philippines,major mountain expedition,7,2,11.1406,122.235,iloilo airport,1990,asia
Baltistan Peak,pakistan,,23294,7100,35.418426,76.551631,skardupakistan,,asia
Baltoro Kangri,pakistan,,23835,7265,76.6697,35.648,islamabadgilgit and skardu,,asia
"Banahaw, Mt",philippines,,6562,2000,14.066667,121.483333,manila,,asia
Banderpunch,india,major mountain expedition,20722,6316,31.003016,78.553433,jolly grant dehradun,1950,asia
"Banoi, Mount",philippines,walk up,2723,830,13.6882,121.178,manila international airport,,asia
Baraha Shikar,nepal,technical climb,25089,7647,,,pokhara,,asia
Baruntse,nepal,major mountain expedition,23687,7220,27.871636,86.980043,kathmandu nepal,1954,asia
"Batu Puteh, Mount",malaysia,major mountain expedition,6994,2132,4.222048,101.441402,kuala lumpur international airport,,asia
"Batulao, Mount",philippines,scramble,2667,813,14.0399,120.802,manila international airport,,asia
Batura,pakistan,major mountain expedition,25574,7795,36.510326,74.522581,islamabad,1976,asia
Batura II,pakistan,major mountain expedition,25466,7762,36.3,74.31,,2006,asia
Bedori Top,pakistan,walk up,12229,3727,,,rawalakot,,asia
Bei Tip,pakistan,major mountain expedition,25958,7912,35.44,78.37,isalmabad,,asia
Bezymianny,russia,scramble,9455,2882,55.975068,160.582032,kamen village,1965,asia
Bhagirathi,india,major mountain expedition,22493,6856,30.85,79.15,jollygrant dehradun,1998,asia
Bilar Peak,philippines,walk up,1673,510,9.712413,124.136972,tagbilaran airport,,asia
Bivachnaya,tajikistan,technical climb,12139,3700,38.924795,68.718359,dushanbe,,asia
Bogda Peak,china,basic snow/ice climb,17864,5445,43.75,88.5333,alma ata kazachstan  urumqi china,,asia
Borj,iran,basic snow/ice climb,14354,4375,,,mehrabad,,asia
Broad Peak,pakistan,major mountain expedition,26400,8047,35.8167,76.5667,islamabad pakistan,1957,asia
Bukit Batu Bujang Pahang,brunei,technical climb,230,70,4.04647,114.872,brunei international airport,,asia
"Bulut, Mount",turkey,scramble,11686,3562,38.2,37.8,trabzon,,asia
Calaptan Peak,philippines,scramble,4423,1348,10.764448,123.201807,new bacolod-silay airport,,asia
"Canlaon, Mt",philippines,walk up,8,2450,10.98,123.95,fly in to the international airport either in manila or the city of cebu then take a connecting flight to the city of bacolod.,1855,asia
"Carmel, Mount",israel,walk up,1791,546,32.733333,35.05,tel aviv israel,,asia
Chamlang,nepal,major mountain expedition,24152,7319,27.775456,86.97979,kathmandu,1962,asia
Changizchal,iran,scramble,13287,4050,35.785165,52.115021,mehrabad,,asia
Changtse,china,major mountain expedition,24868,7580,28.0253,86.9142,kathmandu (nepal) lhasa (tibet),1982,asia
Changuch,india,technical climb,20741,6322,30.290984,80.041051,pantnagar,2009,asia
Chaukhamba 1,india,major mountain expedition,23418,7138,30.7333,79.2833,delhi india,1938,asia
Chim Targa,tajikistan,technical climb,18002,5487,,,samarkand,,asia
Cho Aui (Nangpai Gosum I),china/nepal,major mountain expedition,24117,7351,28.073798,86.613979,lhasa (gonggar 3540m) kathmandu,1996,asia
Cho Oyu,nepal,major mountain expedition,26906,8201,28.094092,86.6608,kathmandu nepal,1954,asia
Cho Polu,nepal,basic snow/ice climb,21965,6695,27.919167,86.981944,kathmandu,,asia
"Chogatake, Mt",japan,,8740,2664,36.29,137.725,,,asia
Chogolisa,pakistan,major mountain expedition,25147,7665,35.613279,76.574364,islamabad,1975,asia
Cholatse,nepal,major mountain expedition,21128,6440,27.919952,86.766071,kathmandu nepal,1982,asia
choleh-jonon,iran,basic snow/ice climb,12959,3950,,,lorestan khoram-abad,,asia
Chomo Lonzo,nepal/china,major mountain expedition,25650,7818,27.93,87.108056,katmandu,,asia
Chomolhari,bhutan/china,major mountain expedition,23997,7314,27.8333,89.2667,paro bhutan,1937,asia
Chulu (Far) East,nepal,basic snow/ice climb,19879,6059,28.7311,84.0851,pokhara (or humde),1955,asia
Chulu East,nepal,basic snow/ice climb,6060,1847,,,kathmandu,,asia
Chulu West,nepal,technical climb,21059,6419,,,kathmandu,,asia
Dalayapan Peak,philippines,scramble,3757,1145,10.814867,123.224037,new bacolod-silay airport,2002,asia
Damavand,iran,,18602,5670,35.9558,52.1086,teheran iran,1837,asia
Darban Zom,pakistan,,23687,7220,,,islamabad,,asia
daugou,china,,18000,5486,,,chengdu,2005,asia
Davraz,turkey,walk up,8694,2650,37.754296,30.723962,,,asia
"Debachen, Mount",india,technical climb,20554,6265,32.212528,77.553862,bhuntar,,asia
Deglii Tsagaan,mongolia,technical climb,13009,3965,49.70688,91.3188,ulaangom olgii,1989,asia
Demirkapi,turkey,,11076,3376,,,trabzon international airport,2001,asia
Demirkazik,turkey,technical climb,12323,3756,37.8167,35.1667,kayseri,1927,asia
Dena,iran,walk up,13615,4150,,,yasouj,,asia
Deo Tibba,india,technical climb,19688,6001,32.2114,77.3972,kulu-manali,1952,asia
Deveboynu,turkey,walk up,10112,3082,40.560667,39.689226,trabzon,,asia
Dhaulagiri,nepal,major mountain expedition,26794,8167,28.7,83.5,kathmandu nepal,1960,asia
Dinamlagan Peak,philippines,scramble,4839,1475,10.782744,123.221768,new bacolod-silay airport,,asia
Dipoyraz,turkey,scramble,9865,3007,37.38,31.19,isparta,,asia
Diran Peak,pakistan,,23839,7266,36.1167,74.6667,gilgit airport or skardu airport (flights from islamabad subject to weather often cancelled for several days),1968,asia
Distaghil Sar,india,major mountain expedition,25869,7885,36.3333,75.1833,islamabad pakistan,1960,asia
Dobarar,iran,scramble,13944,4250,35.766154,52.230849,mehrabadtehran,,asia
Dor-fak,iran,walk up,8875,2705,,,rasht,,asia
Doshakh,iran,scramble,10006,3050,,,mehrabad airport at tehran,,asia
Drangnag Ri,,major mountain expedition,22312,6801,27.95,86.3667,kathmandu (nepal) (lhasa (tibet)),1994,asia
Drifika,pakistan,major mountain expedition,21151,6447,,,islamabad,1978,asia
Dunagiri,india,major mountain expedition,23182,7066,30.6666,79.8666,jolly grant dehradun,1976,asia
Ebener Grat,tajikistan,scramble,17962,5475,,,tashkent,1928,asia
Elmali Dagi,turkey,walk up,8218,2505,,,antalya,,asia
Emei Shan,china,walk up,10167,3099,29.5333,103.35,chengdu china,,asia
Energia,tajikistan,,16798,5120,39.18204,68.199556,via samarkand or dushanbe,,asia
Erciyes,turkey,technical climb,12851,3917,38.5333,35.4667,kayseri,1863,asia
Eren,turkey,,8816,2687,36.72783,29.62571,dalaman airport / muğla,,asia
"Everest, Mount",nepal/china,major mountain expedition,29035,8850,27.9881,86.9253,kathmandu nepal,1953,asia
"Faber, Mount",malaysia,walk up,348,106,,,singapore changi international airport,,asia
Fan Si Pan,vietnam,scramble,10535,3211,22.303333,103.775,hanoi,,asia
Flat Top,india,basic snow/ice climb,20013,6100,,,srinagar or leh,1989,asia
Forgotten Peak,india,major mountain expedition,19321,5889,33.110523,76.891251,delhi,2012,asia
Fuji-san,japan,walk up,12389,3776,35.3667,138.733,tokyo japan,,asia
"Güngörmez, Mount",turkey,scramble,11614,3540,39.6667,36.7833,trabzon,2003,asia
Ganesh Himal,nepal/china,major mountain expedition,24373,7429,28.391551,85.126963,kathmandu nepal,1955,asia
Gangaa Peak,mongolia/mongolia,basic snow/ice climb,12927,3940,49.6919,91.3989,olgii,2015,asia
Gangapurna,nepal,major mountain expedition,24754,7545,28.605339,83.963475,kathmandu/pokhara,1965,asia
Gangkar Punsum,bhutan/china,major mountain expedition,24836,7570,28.03,90.27,,,asia
Gasherbrum,pakistan,major mountain expedition,26470,8068,35.724845,76.69826,islamabad pakistan,1958,asia
Gasherbrum II,pakistan,major mountain expedition,26360,8035,35.757831,76.653028,islamabad pakistan,1956,asia
Gasherbrum III,pakistan/china,major mountain expedition,26089,7952,35.759317,76.64161,islamabad,1975,asia
Gasherbrum IV,pakistan/china,major mountain expedition,26001,7925,35.762359,76.615906,islamabad pakistan,1958,asia
Gauri Sankar,china/nepal,major mountain expedition,23405,7134,27.9667,86.3333,kathmandu nepal,1979,asia
Gawahon Peak,philippines,scramble,4298,1310,10.778463,123.209567,new bacolod-silay airport,,asia
"Gede, Mount",indonesia,scramble,9705,2958,-6.78,106.98,jakarta soekarno hatta intl airport,,asia
Gelincikana,turkey,walk up,8570,2612,37,37,afyon,,asia
Ghali Kooh,iran,walk up,3371,1027,,,arak,,asia
Ghezel Arsalan,iran,technical climb,11155,3400,34.659758,48.459492,hamedan airport,1973,asia
Gokyo Ri,nepal,walk up,17519,5357,27.962089,86.683214,kathmandu,,asia
Gompe Utse,china,,17191,5240,29.7,91.0333,lhasa (gonggar 3550m),,asia
Gongga Shan,china,major mountain expedition,24921,7596,29.1333,103.333,chengdu,1980,asia
Gora Belukha,kazakhstan,basic snow/ice climb,14784,4506,49.8067,86.5908,barnaulrussia semipalatinsk kazakhstan,1914,asia
Gori Chen,,major mountain expedition,21286,6488,,,lhasa tibet,1966,asia
Goryu Dake,japan,walk up,9232,2814,36.659,137.752,narita international kansai international,,asia
Great Trango Tower,pakistan,major mountain expedition,20623,6286,35.757717,76.201014,islamabad/rawalpindi,1977,asia
"Guinsayawan, Mount",philippines,scramble,5866,1788,9.338494,123.148764,dumaguete airport,,asia
"Guiting-guiting, Mt",philippines,,6380,2058,12.4134,122.568,tablas island airport,1982,asia
Gumburanjo,india,scramble,17388,5300,32.961686,77.257097,,,asia
Gunung Agung,indonesia,walk up,10000,3048,-8.35,115.5,ngurah rai international airport denpasar bali,,asia
Gunung Angsi,malaysia,walk up,2707,825,2.75,102.167,klia,,asia
Gunung Api,malaysia,scramble,5741,1750,,,mulu,,asia
Gunung Chamah,malaysia,technical climb,7123,2171,5.134334,101.342441,penang,,asia
Gunung Ciremai,indonesia,walk up,10072,3070,-6.91667,108.4,ckg jakarta international airport,,asia
Gunung Datuk,malaysia,walk up,2900,884,,,kuala lumpur international airport (klia),,asia
Gunung Gayong,malaysia,scramble,7129,2173,4.760776,101.37351,klia,,asia
Gunung Korbu,malaysia,scramble,7162,2183,4.68333,101.3,kuala lumpur international airport,,asia
Gunung Ledang,malaysia,walk up,4186,1276,2.33333,102.667,klia,,asia
Gunung Merapi,indonesia,walk up,9550,2911,-7.55,110.433,yogyakarta java,,asia
Gunung Merbabu,indonesia,walk up,10315,3144,-7.455,110.44,adisutjipto adisumarmo,,asia
Gunung Mulu,malaysia,walk up,7795,2376,4.045377,114.928678,mulu,1974,asia
Gunung Nuang,malaysia,walk up,4898,1493,3.25,,klia,,asia
Gunung Parang,indonesia,technical climb,3159,963,-6.601492,107.337912,cengkareng - jakarta,1980,asia
Gunung Rinjani,indonesia,walk up,12224,3726,-8.43333,116.467,mataram lombok,,asia
Gunung Santubong,malaysia,walk up,2658,810,1.7333,110.333,kuching,,asia
Gunung Sinabung,indonesia,walk up,8041,2451,3.16667,98.4,medan,,asia
Gunung Tahan,malaysia,walk up,7175,2187,4.6325,102.234167,kuala lumpur,,asia
Gunung Yong Belar,malaysia,scramble,7156,2181,4.743413,101.340637,klia,,asia
Gunung Yong Yap,malaysia,walk up,7113,2168,,,ipoh,,asia
Gurla Mandata,china,major mountain expedition,25242,7694,30.4333,81.2833,,1985,asia
Gurla Mandhata,china,major mountain expedition,25242,7694,30.2833,81.2833,lhasa (tibet) kathmandu(nepal),1985,asia
Gyachung Kang,nepal/china,major mountain expedition,26089,7952,28.1,86.75,kathmandu nepal,1964,asia
Haba Xue Shan,china,basic snow/ice climb,17703,5396,27.3394,100.191,lijiang (yunnan china),,asia
Hadur Shuayb,yemen,,12336,3760,,,sana'a yemen,,asia
Haft_tanan,iran,basic snow/ice climb,13182,4018,,,arak,,asia
"Halcon, Mount",philippines,major mountain expedition,8484,2586,13.2625,120.995,naia int'l airport,1906,asia
Hallasan,korea south,,6398,1950,33.361667,126.529167,jeju airport,,asia
Hamugnaw Peak,philippines,walk up,755,230,11.042576,122.706349,new iloilo airport,,asia
"Hanuman Tibba, Mount",india,,19633,5984,,,kullu,,asia
Happo One and Karamatsu Dake,japan,walk up,8845,2696,36.6904,137.774,narita international kansai international,,asia
Haramosh Kutwal Galli,pakistan,major mountain expedition,24291,4800,35.7167,74.1667,islamabad,1958,asia
Haramosh Peak,pakistan,walk up,24308,7409,35.840221,74.89749,gilgit northern areas pakistan,1958,asia
Harmukh,india,basic snow/ice climb,16890,5148,33.7833,76.0167,srinagar,,asia
Hasan dag,turkey,scramble,10722,3268,38.126995,34.164734,konya,,asia
Hasandag,turkey,walk up,10722,3268,38.1333,34.1667,ankara,,asia
"Heram, Mount",iran,scramble,15256,4650,,,ardabil air port,1966,asia
"Hermon, Mount",lebanon,walk up,9232,2814,33.4106,35.8572,beirut lebanon,,asia
Hidden Peak,pakistan,major mountain expedition,26471,8068,,,rawalpindi,1958,asia
Hkakabo Razi,myanmar/china,major mountain expedition,19294,5881,28.3167,97.4667,,1996,asia
Hotakadake,japan,scramble,10466,3190,36.2961,137.645,nagoya tokyo osaka,,asia
Houkendake,japan,scramble,9616,2931,35.7822,137.809,narita international airport kansai international airport,,asia
Houousan,japan,walk up,9318,2840,35.702962,138.304996,narita kansai,,asia
Hua Shan,china,scramble,7087,2160,34.29,110.05,,,asia
"huiten, Mt",mongolia/china,basic snow/ice climb,14350,4374,49.6167,106.35,ulaan baatar,1963,asia
"Imeni Ismail Samani, Pik",tajikistan,basic snow/ice climb,24590,7495,38.95,72.0167,tashkent uzbekistan  dushanbe tajikistan,1933,asia
Imja Tse,nepal,basic snow/ice climb,20285,6183,27.9225,86.936111,kathmandu,1953,asia
"Isarog, Mt",philippines,walk up,6450,1966,13.6667,123.383,naga-pili airport,,asia
Island Peak,nepal,basic snow/ice climb,20275,6180,27.921135,86.935897,kathmandu,,asia
Istor-o-Nal,pakistan,major mountain expedition,23871,7276,36.386944,71.889167,peshawer,1955,asia
Jabal Umm ad Dami,jordan,scramble,6083,1854,29.308333,35.429167,,,asia
Jahanbin-na,iran,walk up,10335,3150,31.5333,50.85,,,asia
Jampayang,china,,19521,5950,,,lhasa tibet,,asia
Jannu,nepal,major mountain expedition,25295,7710,27.6828,88.0458,kathmandu nepal,1962,asia
Jebel Misht,oman,scramble,6857,2090,,,muscat,,asia
Jebel Qihwi,oman,walk up,5886,1794,26.2333,56.35,dubai,,asia
Jebel Shams,oman,scramble,9872,3009,23.2125,57.2783,muscat seeb international,,asia
Jichu Drake,bhutan/china,major mountain expedition,22290,6794,27.7025,88.150278,paro,,asia
Jiigatake,japan,walk up,8760,2670,36.5874,137.75,narita international airport kansai international airport,,asia
Jogin Ii,india,major mountain expedition,20800,6340,,,dehradun,1980,asia
Jonen Dake,japan,scramble,9373,2857,36.3266,137.728,narita international kansai international,,asia
Jugghar,afghanistan,walk up,4147,1264,43.5794,87.6036,feyzabadafghanistan airport,1285,asia
K-6 Baltistan Peak,pakistan,technical climb,23888,7282,35.25,76.33,skardu,1970,asia
K2,pakistan/china,major mountain expedition,28253,8612,35.8825,76.5133,islamabad pakistan,1954,asia
Kabru,nepal/india,major mountain expedition,24005,7317,27.635,88.118333,darjeeling,1965,asia
Kackar,turkey,scramble,12933,3942,40.830956,41.154785,trabzon airport,,asia
Kai-Komagatake,japan,walk up,9731,2967,35.7581,138.237,tokyo,,asia
Kailas,china,major mountain expedition,22028,6714,31.0667,81.3167,lhasa tibet,,asia
Kala Pattar,nepal,walk up,18192,5545,27.995833,86.828417,lukla,,asia
Kalanag,india,major mountain expedition,20955,6387,31.0112,78.3412,jolly grant dehradun,1955,asia
Kalindi,india,scramble,20300,6188,,,dehradun,,asia
"Kalisungan, Mount",philippines,walk up,2251,686,14.1465,121.345,manila international airport,,asia
Kalsubai,india,scramble,5400,1646,19.35,73.42,nasik,,asia
Kamet,india/china,major mountain expedition,25447,7756,30.920278,79.593611,delhi india,1931,asia
Kamikouchidake,japan,walk up,9196,2803,35.391429,138.15239,narita kansai,,asia
Kang Karpo,,major mountain expedition,22113,6740,28.3833,98.5833,kunming(china) lhasa(tibet),,asia
Kang-Yatze,india,basic snow/ice climb,20997,6400,,,leh,,asia
Kangbachen,nepal,major mountain expedition,25781,7858,27.7166,88.1105,darjeeling,1974,asia
Kangchejunga South,india,,27808,8476,,,darjeeling,,asia
Kangchenjunga,nepal/india,major mountain expedition,28169,8586,27.7025,88.1483,kathmandu nepal,1955,asia
Kangchenjunga North,india/nepal,,25397,7741,,,darjeeling from india;,,asia
